Date,AUD,CAD,CHF,EUR,GBP,IDR,JPY,KRW,MYR,NOK,NZD,PHP,RUB,SEK,SGD,THB,TRY,ZAR
20150515,1.318534584,0.736831127,1.550657509,0.803319209,0.524510416,0.713085669,0.551533075,-0.077341895,0.029278708,0.106417408,1.055344088,-0.13652566,0.249493644,1.196197427,0.602422406,0.352563016,-0.412525153,0.289332464
20150514,-0.733322655,-0.205401724,-1.960502151,-1.733952185,-0.953193232,-0.612767805,-0.409690801,-0.428300931,-0.755187288,-0.842655497,-0.833566115,-0.324269655,0.83367419,-1.05964862,-0.83140133,-0.220601299,-1.66787765,-1.239150293
20150513,-0.729426695,-0.550154011,0.295296714,0.16041351,0.30022425,-0.65922517,-0.240673796,-0.020180291,-0.453734658,-0.287024158,-1.009515855,-0.32879472,-2.165461541,0.289448795,-0.48672964,-0.57351714,-1.498715839,-1.218631698
20150512,-1.193124613,-0.6059873,-0.929773649,-0.863066109,-1.303919623,0.474615485,0.034537079,0.080638429,0.390298448,-1.216096914,-0.049769397,0.203307492,-1.625627336,-0.374280061,0.08357128,0.241361768,-0.193177367,1.172601408
20150511,0.254520907,0.086132322,0.883584751,0.7090289,-0.452998357,0.162852673,-0.231618813,0.098412497,0.060291287,1.225701123,0.90931202,0.084380249,1.534274839,0.432727836,0.358102846,0.505451854,-0.227521231,-0.543998784
20150508,0.713086514,0.276048916,1.157707959,0.748596382,-1.218884625,-0.111303312,0.883207036,0.181184937,-0.016846226,1.401904602,0.595219514,-0.068537295,0.483724075,0.742093046,-0.094936288,-0.233229432,0.722024155,0.488584667
20150507,0.441103177,0.500303223,-0.960264779,-0.663423264,-0.003513793,0.635822504,-0.56747442,0.822736371,0.778715169,-1.672965319,0.118545786,0.308888967,1.045432004,-0.786171704,0.336676508,0.915415111,-0.901922527,-0.314272934
20150506,-1.630246707,-0.660049745,-1.0253146,-1.006233304,-0.656051272,-0.081752121,-0.51096879,-0.092485142,-1.196008736,-1.410528652,0.115811819,-0.132459654,-2.859162467,-1.23757674,-0.759781321,-0.361044875,-0.231844728,-0.116355188
20150505,-0.432679854,-0.219704161,-0.214101367,0.314833138,-0.076703046,0.34612542,0.202599045,0.151892613,0.349810416,0.131106338,0.961937718,-0.047728755,-0.735983108,0.254648537,0.321583346,0.241941689,-0.04629761,-0.022560303
20150504,1.01941971,0.803650873,0.03744916,0.56492109,2.112073723,0.387124738,1.176189183,0.916172395,1.212751263,1.506461588,0.56492109,-0.007291865,0.771820029,0.650108133,0.877171267,1.059912859,2.126603414,2.066411495
20150430,0.944981312,-0.28666742,-1.945996809,-1.899242086,-0.447115241,0.412542578,-0.358940552,0.042572872,-0.103891547,-1.905091863,0.959459245,0.807721362,-0.41092998,-1.330039108,-0.160559972,0.364496282,-0.639531977,-0.599809786
20150429,-0.609473247,-0.124403168,-0.425425673,-0.681694237,-0.528896844,-0.234134253,0.165744608,0.336012489,0.402337329,-0.764538391,-0.095251268,0.187752024,-1.110965121,-1.830427413,0.171591283,0.799253233,0.258323334,-0.243529732
20150428,-1.782260476,-0.712477821,-0.034252232,-0.960922486,-1.126863414,-0.318123592,-0.301837082,-0.551944723,-0.390329093,-1.459963424,-1.127725142,-0.161303789,1.133693987,-0.700521756,-0.974644561,-0.331187776,-1.812791888,-1.669823594
20150427,-0.103984856,0.30058819,0.29905119,0.018480872,0.060393911,0.277917844,-0.082032443,-0.386015083,-0.377084127,-0.45948355,-0.366071134,0.024741157,0.76687614,-0.252311894,-0.271688099,0.455664287,-0.492352566,-0.601216077
20150424,-0.858869665,-0.873353795,-0.911732529,-0.480413895,-0.633093874,0.047099534,-0.480413895,-0.526438848,-1.450976321,-0.959547647,-0.159360458,0.192693707,-0.227903769,-0.452825568,-0.727275681,0.285274652,0.084922892,-0.584456311
