Date,AUD,CAD,CHF,GBP,IDR,JPY,KRW,MYR,NOK,NZD,PHP,RUB,SEK,SGD,THB,TRY,USD,ZAR
20090319,-0.347782258,1.020346556,0.345682233,0.149078905,4.338332944,0.566154801,2.061733706,3.27190751,-1.861732319,-0.614066982,3.701953371,1.04472161,-0.882057831,2.924415117,2.987772461,2.618104101,4.12033511,1.232150459
20090318,1.100693029,0.412246135,0.03262217,1.359956827,0.945371658,0.655737705,1.332868337,1.658887347,-0.254769858,1.405161819,1.714468835,0.967673449,-0.575885367,0.831695146,1.423487544,1.573877256,1.452634832,-0.010060518
20090317,-0.279485746,-0.235877586,-0.609558394,0.646352724,-0.351551697,-0.31904132,-0.952617404,-0.6994175,0.758699373,-0.643112993,-1.015067407,-0.886004452,0.360429238,-0.665932305,-0.738599872,0.199392758,-0.766753565,0.13561371
20090316,0.46969929,0.737220496,0.397135417,-0.157266811,0.850603155,1.165079115,-3.217735153,0.16311508,-0.657372776,-0.158491486,0.847728727,0.939040614,-1.041206935,0.366852606,0.639906923,0.15885984,1.061604029,0.597929465
20090313,-1.00075815,-0.285540705,0.886699507,-0.945423292,0.167683549,2.196299276,-0.099671241,1.315733718,-0.775978408,-1.508965738,0.741218176,-0.601813887,-0.97839853,1.76954943,0.941713789,-1.13085622,0.962290721,-0.921456101
20090312,0.651167523,0.826952527,3.06661251,0.572663425,0.342760438,-0.837654567,1.403874546,-0.137528299,0.679347826,-1.116124436,0.485751295,0.520279508,-0.313847522,-0.239795918,-0.030438753,0.650406504,-0.031284217,-0.433736052
20090311,-0.932365689,-0.146797969,0.715892821,0.281720663,0.693417965,-0.079713033,-2.618791192,0.131353149,-1.163831692,-0.808731156,0.113470579,0.004244624,-1.87568157,-0.076472088,-0.067354699,-2.864914667,0.023468669,-2.184493407
20090310,-0.206206307,-0.341359342,-0.013634195,1.261795041,1.184315768,0.844051447,-0.917004927,1.051166774,-0.423445509,0.28741289,1.214109926,-0.063628854,-0.890579741,0.569114028,1.29855838,-0.144571979,1.734978114,-0.601905161
20090309,0.505484507,0.904170255,0.218624035,2.404494382,-1.391509927,1.52615686,0,-0.735294118,0.234558249,1.054348691,-0.457292177,-1.094145054,-1.263499381,-0.296493201,-0.52545156,0.777041943,-0.734713225,0.37149054
20090306,1.072906555,0.737344321,-0.866915002,-0.033696507,0.529332704,-1.748055489,-0.257180689,0.549157033,0.527734112,0.275284261,0.508864084,0.499317599,2.011757022,0.158722032,0.455265241,2.581521739,0.820390283,0.884319233
20090305,0.015329586,-0.105224065,-0.115004735,0.011233431,0.45565858,0.032084704,1.20032366,0.377496086,-0.380313199,-0.059808612,-0.049220673,-0.404469051,-0.303885392,0.452605051,0.346494229,1.713653952,0,0.489976034
20090304,-0.249757888,-0.388433319,-0.296775934,-0.61959252,0.146711967,0.833063733,-1.429050416,-0.367560637,-0.80443828,-0.881318421,-0.990903184,-1.147484034,0.280358371,-0.547314578,-0.640308752,-0.431153105,-0.475624257,-0.653817082
